run,tick,t_s,phase,body_yaw_present_rad,leg1_present_rad,leg2_present_rad,leg3_present_rad,leg4_present_rad,leg5_present_rad,leg6_present_rad,antenna_right_present_rad,antenna_left_present_rad,body_yaw_goal_rad,leg1_goal_rad,leg2_goal_rad,leg3_goal_rad,leg4_goal_rad,leg5_goal_rad,leg6_goal_rad,antenna_right_goal_rad,antenna_left_goal_rad
0,0,0.000029,commanding,-0.010738,-0.177942,0.852893,-0.121184,0.087437,-0.819146,0.196350,-3.049554,3.049554,-0.010738,-0.177942,0.852893,-0.121184,0.088971,-0.819146,0.196350,-3.049554,3.049554
0,1,0.020078,commanding,-0.010738,-0.177942,0.852893,-0.121184,0.088971,-0.819146,0.194816,-3.049554,3.049554,-0.010738,-0.177942,0.852893,-0.121184,0.088971,-0.819146,0.196350,-3.049554,3.049554
0,2,0.051539,commanding,-0.010738,-0.177942,0.852893,-0.121184,0.088971,-0.819146,0.196350,-3.049554,3.049554,-0.010736,-0.177829,0.852574,-0.121057,0.088851,-0.818833,0.196228,-3.049807,3.058265
0,3,0.083556,commanding,-0.010738,-0.184078,0.859029,-0.122718,0.088971,-0.819146,0.199418,-3.049554,3.054156,-0.010712,-0.176137,0.847801,-0.119157,0.087063,-0.814162,0.194411,-3.053639,3.173980
0,4,0.115534,commanding,-0.010738,-0.184078,0.857495,-0.122718,0.088971,-0.819146,0.200951,-3.051088,3.084835,-0.010634,-0.170729,0.832614,-0.113090,0.081353,-0.799304,0.188610,-3.066116,3.488470
0,5,0.147541,commanding,-0.010738,-0.182544,0.851359,-0.122718,0.087437,-0.819146,0.197884,-3.057224,3.229030,-0.010481,-0.160111,0.803117,-0.101225,0.070181,-0.770456,0.177249,-3.091150,3.993413
0,6,0.179549,commanding,-0.010738,-0.174874,0.839087,-0.115049,0.087437,-0.813010,0.188680,-3.083301,3.522020,-0.010237,-0.143316,0.757316,-0.082582,0.052618,-0.725690,0.159352,-3.131737,4.616096
0,7,0.211531,commanding,-0.010738,-0.158000,0.813010,-0.096641,0.070563,-0.783864,0.171806,-3.120117,3.928525,-0.009896,-0.119901,0.695187,-0.056860,0.028362,-0.665010,0.134535,-3.189876,5.247759
0,8,0.243531,commanding,-0.010738,-0.131922,0.765456,-0.069029,0.044485,-0.730175,0.150330,-3.169204,4.393321,-0.009457,-0.089861,0.618314,-0.024329,-0.002354,-0.589989,0.102894,-3.266644,5.777060
0,9,0.275539,commanding,-0.010738,-0.102777,0.697961,-0.035282,0.013806,-0.656544,0.128854,-3.233632,4.884195,-0.008924,-0.053438,0.529174,0.014401,-0.038981,-0.503057,0.064780,-3.362510,6.123618
0,10,0.307531,commanding,-0.010738,-0.070563,0.616660,0.001534,-0.019942,-0.581379,0.093573,-3.325670,5.345923,-0.008306,-0.011158,0.430920,0.058395,-0.080664,-0.407283,0.020820,-3.477128,6.267678
0,11,0.339548,commanding,-0.009204,-0.036816,0.520019,0.042951,-0.059825,-0.490874,0.053689,-3.434583,5.789243,-0.007615,0.036243,0.326877,0.106532,-0.126369,-0.305884,-0.028177,-3.609444,6.283185
0,12,0.371530,commanding,-0.009204,0.006136,0.414175,0.088971,-0.104311,-0.392699,0.007670,-3.548098,6.168137,-0.006868,0.087988,0.219954,0.157731,-0.175093,-0.201664,-0.081384,-3.758126,6.283185
0,13,0.403531,commanding,-0.009204,0.052155,0.306796,0.138058,-0.150330,-0.288388,-0.046019,-3.686156,6.313865,-0.006084,0.143013,0.113033,0.210742,-0.225666,-0.097399,-0.137712,-3.920902,6.283185
0,14,0.435547,commanding,-0.009204,0.105845,0.193282,0.191748,-0.199418,-0.179476,-0.104311,-3.839554,6.298525,-0.005281,0.200341,0.008193,0.264524,-0.277104,0.004908,-0.196172,-4.095664,6.283185
0,15,0.467530,commanding,-0.009204,0.164136,0.079767,0.240835,-0.248505,-0.072097,-0.162602,-4.002156,6.275515,-0.004480,0.258799,-0.092669,0.317969,-0.328345,0.103419,-0.255595,-4.279727,6.283185
