run,tick,t_s,phase,body_yaw_present_rad,leg1_present_rad,leg2_present_rad,leg3_present_rad,leg4_present_rad,leg5_present_rad,leg6_present_rad,antenna_right_present_rad,antenna_left_present_rad,body_yaw_goal_rad,leg1_goal_rad,leg2_goal_rad,leg3_goal_rad,leg4_goal_rad,leg5_goal_rad,leg6_goal_rad,antenna_right_goal_rad,antenna_left_goal_rad
0,0,0.000057,commanding,0.009204,-0.174874,0.851359,-0.121184,0.087437,-0.814544,0.196350,3.233632,-3.233632,0.009204,-0.174874,0.851359,-0.121184,0.087437,-0.814544,0.196350,3.233632,-3.233632
0,1,0.020076,commanding,0.009204,-0.174874,0.851359,-0.121184,0.087437,-0.814544,0.196350,3.233632,-3.233632,0.009204,-0.174874,0.851359,-0.121184,0.087437,-0.814544,0.196350,3.233632,-3.233632
0,2,0.051584,commanding,0.009204,-0.174874,0.851359,-0.121184,0.087437,-0.814544,0.196350,3.233632,-3.233632,0.009202,-0.174762,0.851042,-0.121058,0.087318,-0.814234,0.196228,3.233144,-3.233144
0,3,0.083582,commanding,0.009204,-0.177942,0.854427,-0.121184,0.087437,-0.814544,0.199418,3.233632,-3.233632,0.009182,-0.173085,0.846278,-0.119156,0.085533,-0.809576,0.194404,3.225805,-3.225805
0,4,0.115589,commanding,0.009204,-0.177942,0.854427,-0.122718,0.087437,-0.814544,0.200951,3.232098,-3.233632,0.009115,-0.167732,0.831144,-0.113094,0.079845,-0.794783,0.188589,3.202352,-3.202352
0,5,0.147582,commanding,0.009204,-0.176408,0.849825,-0.121184,0.087437,-0.814544,0.196350,3.229030,-3.232098,0.008983,-0.157201,0.801699,-0.101218,0.068696,-0.766016,0.177185,3.156116,-3.156116
0,6,0.179591,commanding,0.009204,-0.173340,0.839087,-0.115049,0.084369,-0.809942,0.188680,3.210622,-3.213690,0.008775,-0.140557,0.756034,-0.082584,0.051191,-0.721436,0.159248,3.082807,-3.082807
0,7,0.211582,commanding,0.009204,-0.158000,0.814544,-0.098175,0.070563,-0.783864,0.174874,3.167670,-3.173806,0.008482,-0.117330,0.694052,-0.056865,0.027006,-0.660985,0.134374,2.980139,-2.980139
0,8,0.243589,commanding,0.009204,-0.133456,0.774660,-0.070563,0.046019,-0.734777,0.153398,3.101709,-3.110913,0.008106,-0.087495,0.617315,-0.024325,-0.003633,-0.586221,0.102661,2.847891,-2.847891
0,9,0.275587,commanding,0.009204,-0.102777,0.717903,-0.039884,0.018408,-0.668816,0.130388,3.018874,-3.028078,0.007649,-0.051296,0.528317,0.014413,-0.040170,-0.499589,0.064479,2.687245,-2.687245
0,10,0.307616,commanding,0.009204,-0.070563,0.644272,-0.003068,-0.015340,-0.595185,0.096641,2.916097,-2.920699,0.007119,-0.009264,0.430240,0.058396,-0.081734,-0.404186,0.020479,2.501022,-2.501022
0,11,0.339595,commanding,0.009204,-0.036816,0.558369,0.036816,-0.053689,-0.513884,0.058291,2.790311,-2.793379,0.006526,0.037964,0.326205,0.106593,-0.127383,-0.303023,-0.028617,2.292860,-2.292860
0,12,0.371581,commanding,0.009204,0.004602,0.461728,0.079767,-0.095107,-0.423379,0.012272,2.666059,-2.667593,0.005886,0.089427,0.219521,0.157735,-0.175937,-0.199281,-0.081787,2.068114,-2.068114
0,13,0.403581,commanding,0.009204,0.050621,0.357418,0.128854,-0.141126,-0.328272,-0.036816,2.610835,-2.616971,0.005214,0.144253,0.112673,0.210759,-0.226408,-0.095339,-0.138131,1.831897,-1.831897
0,14,0.435648,commanding,0.009204,0.102777,0.246971,0.176408,-0.187146,-0.230097,-0.090505,2.409884,-2.412952,0.004526,0.201388,0.007905,0.264545,-0.277739,0.006646,-0.196585,1.590108,-1.590108
0,15,0.467581,commanding,0.009204,0.158000,0.136524,0.230097,-0.237767,-0.125786,-0.150330,2.150641,-2.142971,0.003838,0.259765,-0.093060,0.318079,-0.328962,0.105015,-0.256083,1.348495,-1.348495
0,16,0.499581,commanding,0.009204,0.213223,0.024544,0.277651,-0.285320,-0.021476,-0.205553,1.885262,-1.880660,0.003173,0.317747,-0.188011,0.369941,-0.378709,0.197616,-0.314994,1.114699,-1.114699
0,17,0.531581,commanding,0.009204,0.273049,-0.081301,0.326738,-0.334408,0.081301,-0.265379,1.647495,-1.641359,0.002542,0.374346,-0.276187,0.419387,-0.426251,0.283695,-0.372349,0.893092,-0.893092
0,18,0.563599,commanding,0.009204,0.332874,-0.185612,0.378893,-0.385029,0.182544,-0.326738,1.435806,-1.426602,0.001963,0.428017,-0.356150,0.465252,-0.470445,0.361830,-0.426617,0.689532,-0.689532
