run,tick,t_s,phase,body_yaw_present_rad,leg1_present_rad,leg2_present_rad,leg3_present_rad,leg4_present_rad,leg5_present_rad,leg6_present_rad,antenna_right_present_rad,antenna_left_present_rad,body_yaw_goal_rad,leg1_goal_rad,leg2_goal_rad,leg3_goal_rad,leg4_goal_rad,leg5_goal_rad,leg6_goal_rad,antenna_right_goal_rad,antenna_left_goal_rad
0,0,0.000000,commanding,-0.026078,-0.182544,0.938796,-0.125786,0.092039,-1.004757,0.223961,-3.043418,3.069496,-0.026078,-0.176408,0.929592,-0.124252,0.088971,-1.006291,0.217825,-3.043418,3.067962
0,1,0.020000,commanding,-0.026078,-0.182544,0.938796,-0.125786,0.092039,-1.004757,0.225495,-3.043418,3.069496,-0.026074,-0.176312,0.929254,-0.124124,0.088850,-1.005925,0.217722,-3.043716,3.068472
0,2,0.040000,commanding,-0.026078,-0.182544,0.938796,-0.125786,0.092039,-1.004757,0.223961,-3.043418,3.069496,-0.026047,-0.175667,0.926992,-0.123266,0.088039,-1.003471,0.217030,-3.045728,3.071887
0,3,0.060000,commanding,-0.026078,-0.182544,0.938796,-0.125786,0.092039,-1.006291,0.223961,-3.043418,3.067962,-0.025980,-0.174002,0.921169,-0.121055,0.085950,-0.997155,0.215243,-3.050965,3.080701
0,4,0.080000,commanding,-0.026078,-0.182544,0.937262,-0.125786,0.092039,-1.004757,0.223961,-3.044952,3.069496,-0.025854,-0.170920,0.910465,-0.116982,0.082101,-0.985553,0.211937,-3.060728,3.096978
0,5,0.100000,commanding,-0.026078,-0.182544,0.934194,-0.125786,0.090505,-1.003223,0.223961,-3.048020,3.072564,-0.025659,-0.166092,0.893893,-0.110651,0.076120,-0.967606,0.206759,-3.076117,3.122374
0,6,0.120000,commanding,-0.026078,-0.182544,0.929592,-0.124252,0.090505,-0.998621,0.223961,-3.051088,3.078699,-0.025384,-0.159249,0.870796,-0.101779,0.067737,-0.942626,0.199427,-3.098038,3.158168
0,7,0.140000,commanding,-0.026078,-0.181010,0.924990,-0.122718,0.088971,-0.989418,0.222427,-3.057224,3.090971,-0.025021,-0.150179,0.840847,-0.090190,0.056787,-0.910291,0.189716,-3.127216,3.205280
0,8,0.160000,commanding,-0.026078,-0.179476,0.914253,-0.119651,0.085903,-0.978680,0.217825,-3.069496,3.106311,-0.024567,-0.138718,0.804027,-0.075808,0.043198,-0.870619,0.177460,-3.164203,3.264294
0,9,0.180000,commanding,-0.026078,-0.174874,0.905049,-0.115049,0.078233,-0.967942,0.213223,-3.084835,3.123185,-0.024020,-0.124754,0.760588,-0.058648,0.026982,-0.823930,0.162548,-3.209386,3.335488
0,10,0.200000,commanding,-0.026078,-0.167204,0.891243,-0.107379,0.069029,-0.954136,0.202485,-3.103243,3.140059,-0.023378,-0.108226,0.711012,-0.038802,0.008226,-0.770788,0.144924,-3.263001,3.418851
0,11,0.220000,commanding,-0.026078,-0.156466,0.877437,-0.096641,0.056757,-0.938796,0.190214,-3.124719,3.161534,-0.022645,-0.089118,0.655957,-0.016427,-0.012924,-0.711943,0.124583,-3.325138,3.514111
0,12,0.240000,commanding,-0.024544,-0.142660,0.862097,-0.082835,0.044485,-0.920388,0.174874,-3.147729,3.184544,-0.021825,-0.067462,0.596198,0.008272,-0.036277,-0.648268,0.101571,-3.395753,3.620758
0,13,0.260000,commanding,-0.024544,-0.127320,0.843689,-0.067495,0.030680,-0.900447,0.159534,-3.173806,3.209088,-0.020922,-0.043337,0.532583,0.035052,-0.061606,-0.580697,0.075978,-3.474677,3.738066
0,14,0.280000,commanding,-0.024544,-0.110447,0.820680,-0.052155,0.015340,-0.878971,0.144194,-3.198350,3.239767,-0.019945,-0.016860,0.465979,0.063650,-0.088667,-0.510174,0.047942,-3.561626,3.865121
0,15,0.300000,commanding,-0.026078,-0.096641,0.797670,-0.038350,-0.001534,-0.857495,0.130388,-3.219826,3.265845,-0.018901,0.011810,0.397237,0.093788,-0.117201,-0.437615,0.017633,-3.656209,4.000839
0,16,0.320000,commanding,-0.024544,-0.078233,0.773126,-0.021476,-0.013806,-0.836020,0.113515,-3.244369,3.290389,-0.017800,0.042485,0.327163,0.125184,-0.146945,-0.363876,-0.014742,-3.757941,4.143995
0,17,0.340000,commanding,-0.024544,-0.058291,0.748583,-0.007670,-0.029146,-0.811476,0.093573,-3.268913,3.313399,-0.016651,0.074943,0.256504,0.157556,-0.177637,-0.289734,-0.048948,-3.866249,4.293245
0,18,0.360000,commanding,-0.023010,-0.036816,0.720971,0.009204,-0.047553,-0.785398,0.070563,-3.291923,3.336408,-0.015467,0.108939,0.185931,0.190625,-0.209019,-0.215882,-0.084724,-3.980482,4.447149
0,19,0.380000,commanding,-0.023010,-0.016874,0.696427,0.026078,-0.067495,-0.757787,0.049087,-3.318000,3.359418,-0.014259,0.144203,0.116043,0.224119,-0.240836,-0.142926,-0.121786,-4.099925,4.604195
0,20,0.400000,commanding,-0.023010,0.004602,0.668816,0.044485,-0.088971,-0.727107,0.024544,-3.344078,3.383962,-0.013039,0.180445,0.047369,0.257772,-0.272837,-0.071394,-0.159834,-4.223801,4.762823
0,21,0.420000,commanding,-0.023010,0.027612,0.645806,0.062893,-0.107379,-0.701029,0.001534,-3.365554,3.408505,-0.011818,0.217357,-0.019625,0.291319,-0.304776,-0.001746,-0.198544,-4.351287,4.921452
