run,tick,t_s,phase,body_yaw_present_rad,leg1_present_rad,leg2_present_rad,leg3_present_rad,leg4_present_rad,leg5_present_rad,leg6_present_rad,antenna_right_present_rad,antenna_left_present_rad,body_yaw_goal_rad,leg1_goal_rad,leg2_goal_rad,leg3_goal_rad,leg4_goal_rad,leg5_goal_rad,leg6_goal_rad,antenna_right_goal_rad,antenna_left_goal_rad
0,0,0.000000,commanding,0.000000,0.124252,0.486272,0.190214,-0.225495,-0.556835,-0.113515,-3.462195,3.479068,0.000000,0.399394,-0.315002,0.449127,-0.456336,0.305224,-0.390326,-5.009429,5.655476
0,1,0.020000,commanding,0.000000,0.136524,0.461728,0.211689,-0.245437,-0.532291,-0.128854,-3.486738,3.502078,0.000000,0.433063,-0.364631,0.476527,-0.482506,0.356360,-0.425308,-5.139530,5.783335
0,2,0.040000,commanding,-0.001534,0.148796,0.437185,0.234699,-0.268447,-0.506214,-0.144194,-3.512816,3.526622,0.000000,0.464874,-0.410299,0.502055,-0.506924,0.403418,-0.458365,-5.266975,5.901387
0,3,0.060000,commanding,0.000000,0.161068,0.412641,0.259243,-0.291456,-0.480136,-0.158000,-3.538894,3.551166,0.000000,0.494456,-0.451767,0.525486,-0.529369,0.446158,-0.489112,-5.390904,6.008709
0,4,0.080000,commanding,0.000000,0.174874,0.386563,0.282252,-0.316000,-0.450990,-0.173340,-3.561903,3.574175,0.000000,0.521461,-0.488832,0.546621,-0.549641,0.484372,-0.517188,-5.510493,6.104573
0,5,0.100000,commanding,-0.001534,0.188680,0.362019,0.305262,-0.339010,-0.426447,-0.188680,-3.586447,3.598719,0.000000,0.545582,-0.521333,0.565294,-0.567573,0.517893,-0.542273,-5.624966,6.188464
0,6,0.120000,commanding,0.000000,0.200951,0.335942,0.328272,-0.363553,-0.400369,-0.207087,-3.612525,3.623263,0.000000,0.566573,-0.549168,0.581385,-0.583042,0.546616,-0.564108,-5.733605,6.260109
0,7,0.140000,commanding,0.000000,0.213223,0.312932,0.351282,-0.383495,-0.375825,-0.220893,-3.634000,3.641670,0.000000,0.584264,-0.572318,0.594832,-0.595982,0.570513,-0.582517,-5.835755,6.319497
0,8,0.160000,commanding,-0.001534,0.237767,0.269981,0.388097,-0.417243,-0.343612,-0.243903,-3.653942,3.658544,0.000000,0.598588,-0.590858,0.605642,-0.606391,0.589661,-0.597426,-5.930839,6.366907
0,9,0.180000,commanding,-0.001534,0.276117,0.242369,0.420311,-0.440252,-0.316000,-0.273049,-3.683088,3.681554,0.000000,0.609596,-0.604987,0.613902,-0.614350,0.604257,-0.608886,-6.018363,6.402928
0,10,0.200000,commanding,0.000000,0.322136,0.214757,0.443320,-0.458660,-0.291456,-0.306796,-3.710700,3.707632,0.000000,0.617474,-0.615035,0.619788,-0.620025,0.614642,-0.617090,-6.097930,6.428485
0,11,0.220000,commanding,0.000000,0.360485,0.184078,0.461728,-0.478602,-0.260777,-0.335942,-3.733709,3.735243,0.000000,0.622554,-0.621486,0.623572,-0.623673,0.621310,-0.622380,-6.169245,6.444865
0,12,0.240000,commanding,0.000000,0.394233,0.156466,0.483204,-0.501612,-0.231631,-0.363553,-3.756719,3.761321,0.000000,0.625315,-0.624984,0.625625,-0.625653,0.624926,-0.625256,-6.232127,6.453735
0,13,0.260000,commanding,0.000000,0.415709,0.134990,0.501612,-0.523087,-0.208621,-0.389631,-3.775127,3.787399,0.000000,0.626387,-0.626340,0.626421,-0.626421,0.626328,-0.626372,-6.286519,6.457172
0,14,0.280000,commanding,-0.001534,0.437185,0.113515,0.518486,-0.536893,-0.187146,-0.417243,-3.802738,3.816544,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-6.332496,6.457685
0,15,0.300000,commanding,0.000000,0.455592,0.088971,0.530757,-0.547631,-0.164136,-0.438719,-3.828816,3.841088,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-6.370275,6.457685
0,16,0.320000,commanding,0.000000,0.467864,0.065961,0.544563,-0.558369,-0.144194,-0.457126,-3.851826,3.861030,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-6.400225,6.457685
0,17,0.340000,commanding,-0.003068,0.475534,0.044485,0.558369,-0.572175,-0.124252,-0.467864,-3.873301,3.876369,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-6.422877,6.457685
0,18,0.360000,commanding,-0.003068,0.493942,0.021476,0.582913,-0.595185,-0.099709,-0.472466,-3.896311,3.893243,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-6.438930,6.457685
0,19,0.380000,commanding,-0.001534,0.512350,0.001534,0.602854,-0.612058,-0.078233,-0.483204,-3.920855,3.916253,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-6.449266,6.457685
0,20,0.400000,commanding,0.000000,0.532291,-0.021476,0.618194,-0.625864,-0.056757,-0.506214,-3.950001,3.948467,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-6.454956,6.457685
0,21,0.420000,commanding,0.000000,0.546097,-0.046019,0.632000,-0.636602,-0.033748,-0.527689,-3.976078,3.980680,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-6.457269,6.457685
0,22,0.440000,commanding,-0.001534,0.553767,-0.069029,0.647340,-0.645806,-0.013806,-0.543029,-4.000622,4.008292,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-6.457685,6.457685
0,23,0.460000,commanding,-0.001534,0.559903,-0.085903,0.656544,-0.653476,0.003068,-0.552233,-4.020564,4.029768,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-6.457685,6.457685
0,24,0.480000,commanding,0.000000,0.561437,-0.096641,0.656544,-0.655010,0.016874,-0.553767,-4.045107,4.055845,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-6.457685,6.457685
0,25,0.500000,commanding,0.000000,0.562971,-0.111981,0.658078,-0.656544,0.032214,-0.553767,-4.068117,4.080389,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-6.457685,6.457685
0,26,0.520000,commanding,0.000000,0.569107,-0.130388,0.661146,-0.658078,0.047553,-0.556835,-4.094195,4.104933,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-6.457685,6.457685
0,27,0.540000,commanding,0.000000,0.576777,-0.142660,0.661146,-0.659612,0.061359,-0.564505,-4.118738,4.127942,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-6.457685,6.457685
0,28,0.560000,commanding,0.000000,0.582913,-0.159534,0.662680,-0.659612,0.078233,-0.570641,-4.143282,4.154020,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-6.457685,6.457685
0,29,0.580000,commanding,0.000000,0.587515,-0.179476,0.662680,-0.659612,0.095107,-0.573709,-4.166292,4.180098,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-6.457685,6.457685
0,30,0.600000,commanding,0.000000,0.592117,-0.200951,0.662680,-0.659612,0.119651,-0.575243,-4.193903,4.206175,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-6.457685,6.457685
0,31,0.620000,commanding,0.000000,0.599786,-0.225495,0.661146,-0.658078,0.142660,-0.579845,-4.216913,4.232253,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-6.457685,6.457685
0,32,0.640000,commanding,0.000000,0.613592,-0.251573,0.659612,-0.656544,0.170272,-0.593651,-4.239923,4.255263,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-6.457685,6.457685
0,33,0.660000,commanding,0.000000,0.625864,-0.282252,0.658078,-0.655010,0.199418,-0.608990,-4.264467,4.278272,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-6.457685,6.457685
0,34,0.680000,commanding,0.000000,0.636602,-0.309864,0.656544,-0.651942,0.228563,-0.624330,-4.287476,4.301282,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-6.457685,6.457685
0,35,0.700000,commanding,0.000000,0.645806,-0.335942,0.650408,-0.647340,0.256175,-0.639670,-4.310486,4.322758,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-6.457685,6.457685
0,36,0.720000,commanding,0.000000,0.651942,-0.362019,0.636602,-0.636602,0.282252,-0.651942,-4.335030,4.345768,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-6.457685,6.457685
0,37,0.740000,commanding,0.000000,0.655010,-0.386563,0.628932,-0.628932,0.305262,-0.656544,-4.359573,4.367243,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-6.457685,6.457685
0,38,0.760000,commanding,-0.001534,0.664214,-0.412641,0.630466,-0.630466,0.331340,-0.667282,-4.377981,4.387185,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-6.457685,6.457685
0,39,0.780000,commanding,0.000000,0.670350,-0.438719,0.630466,-0.632000,0.355884,-0.671884,-4.399457,4.410195,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-6.457685,6.457685
0,40,0.800000,commanding,0.000000,0.665748,-0.463262,0.628932,-0.630466,0.380427,-0.668816,-4.430137,4.439340,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-6.457685,6.457685
0,41,0.820000,commanding,-0.001534,0.659612,-0.487806,0.628932,-0.630466,0.408039,-0.661146,-4.456214,4.463884,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-6.457685,6.457685
0,42,0.840000,commanding,0.000000,0.647340,-0.516952,0.630466,-0.632000,0.435651,-0.648874,-4.483826,4.493030,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-6.457685,6.457685
0,43,0.860000,commanding,0.000000,0.639670,-0.541495,0.632000,-0.633534,0.463262,-0.642738,-4.509904,4.517573,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-6.457685,6.457685
0,44,0.880000,commanding,0.000000,0.638136,-0.567573,0.638136,-0.638136,0.493942,-0.642738,-4.532913,4.543651,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-6.457685,6.457685
0,45,0.900000,commanding,-0.001534,0.639670,-0.590583,0.642738,-0.641204,0.521553,-0.644272,-4.557457,4.569729,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-6.457685,6.457685
0,46,0.920000,commanding,0.000000,0.641204,-0.604388,0.635068,-0.636602,0.546097,-0.644272,-4.586603,4.598874,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-6.457685,6.457685
0,47,0.940000,commanding,0.000000,0.642738,-0.616660,0.628932,-0.632000,0.567573,-0.645806,-4.612680,4.626486,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-6.457685,6.457685
0,48,0.960000,commanding,0.000000,0.647340,-0.624330,0.628932,-0.633534,0.585981,-0.648874,-4.628020,4.643360,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-6.457685,6.457685
0,49,0.980000,commanding,0.000000,0.650408,-0.627398,0.630466,-0.633534,0.599786,-0.650408,-4.649496,4.660234,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-6.457685,6.457685
0,50,1.000000,commanding,0.000000,0.648874,-0.628932,0.630466,-0.633534,0.610524,-0.650408,-4.672505,4.683243,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-6.457685,6.457685
0,51,1.020000,commanding,0.000000,0.648874,-0.630466,0.632000,-0.633534,0.619728,-0.648874,-4.697049,4.706253,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-6.457685,6.457685
0,52,1.040000,commanding,0.000000,0.648874,-0.630466,0.632000,-0.633534,0.624330,-0.650408,-4.723127,4.735399,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-6.457685,6.457685
0,53,1.060000,commanding,0.000000,0.648874,-0.630466,0.630466,-0.633534,0.627398,-0.650408,-4.750739,4.763010,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-6.457685,6.457685
0,54,1.080000,commanding,0.000000,0.650408,-0.628932,0.630466,-0.633534,0.627398,-0.650408,-4.778350,4.787554,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-6.457685,6.457685
0,55,1.100000,commanding,0.000000,0.648874,-0.630466,0.630466,-0.633534,0.627398,-0.650408,-4.801360,4.812098,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-6.457685,6.457685
0,56,1.120000,commanding,0.000000,0.648874,-0.630466,0.630466,-0.633534,0.625864,-0.650408,-4.825904,4.836641,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-6.457685,6.457685
0,57,1.140000,commanding,0.000000,0.648874,-0.630466,0.630466,-0.633534,0.627398,-0.650408,-4.848913,4.861185,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-6.457685,6.457685
0,58,1.160000,commanding,0.000000,0.648874,-0.630466,0.630466,-0.633534,0.627398,-0.650408,-4.871923,4.887263,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-6.457685,6.457685
0,59,1.180000,commanding,0.000000,0.648874,-0.630466,0.630466,-0.633534,0.627398,-0.650408,-4.894933,4.913340,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-6.457685,6.457685
0,60,1.200000,commanding,0.000000,0.648874,-0.630466,0.630466,-0.633534,0.627398,-0.650408,-4.921010,4.939418,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-6.457685,6.457685
0,61,1.220000,commanding,0.000000,0.648874,-0.630466,0.630466,-0.633534,0.627398,-0.650408,-4.945554,4.963962,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-6.457685,6.457685
0,62,1.240000,commanding,0.000000,0.648874,-0.630466,0.630466,-0.633534,0.627398,-0.650408,-4.971632,4.988506,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-6.457685,6.457685
0,63,1.260000,commanding,0.000000,0.648874,-0.630466,0.630466,-0.633534,0.627398,-0.650408,-4.994641,5.013049,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-6.457685,6.457685
0,64,1.280000,commanding,0.000000,0.648874,-0.630466,0.630466,-0.633534,0.625864,-0.650408,-5.020719,5.037593,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-6.457685,6.457685
0,65,1.300000,commanding,0.000000,0.647340,-0.630466,0.630466,-0.633534,0.627398,-0.650408,-5.046797,5.060603,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-6.457685,6.457685
0,66,1.320000,commanding,0.000000,0.647340,-0.630466,0.630466,-0.633534,0.627398,-0.650408,-5.071340,5.088214,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-6.457685,6.457685
0,67,1.340000,commanding,0.000000,0.647340,-0.630466,0.630466,-0.633534,0.627398,-0.650408,-5.095884,5.112758,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-6.457685,6.457685
0,68,1.360000,commanding,0.000000,0.647340,-0.630466,0.630466,-0.633534,0.627398,-0.650408,-5.120428,5.141904,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-6.457685,6.457685
0,69,1.380000,commanding,0.000000,0.647340,-0.630466,0.630466,-0.633534,0.627398,-0.650408,-5.146506,5.166447,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-6.457685,6.457685
0,70,1.400000,commanding,0.000000,0.647340,-0.630466,0.630466,-0.633534,0.627398,-0.650408,-5.172583,5.192525,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-6.457685,6.457685
0,71,1.420000,commanding,0.000000,0.647340,-0.630466,0.630466,-0.633534,0.627398,-0.650408,-5.197127,5.217069,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-6.457685,6.457685
0,72,1.440000,commanding,0.000000,0.647340,-0.630466,0.630466,-0.633534,0.627398,-0.650408,-5.223205,5.243146,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-6.457685,6.457685
0,73,1.460000,commanding,0.000000,0.647340,-0.630466,0.630466,-0.633534,0.627398,-0.650408,-5.246214,5.267690,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-6.457685,6.457685
0,74,1.480000,commanding,0.000000,0.645806,-0.630466,0.630466,-0.633534,0.627398,-0.650408,-5.270758,5.293768,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-6.457685,6.457685
0,75,1.500000,commanding,0.000000,0.645806,-0.630466,0.630466,-0.633534,0.627398,-0.650408,-5.293768,5.319845,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-6.457685,6.457685
0,76,1.520000,commanding,0.000000,0.645806,-0.630466,0.630466,-0.633534,0.627398,-0.650408,-5.319845,5.344389,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-6.457685,6.457685
0,77,1.540000,commanding,0.000000,0.645806,-0.630466,0.630466,-0.633534,0.627398,-0.650408,-5.345923,5.367399,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-6.457685,6.457685
0,78,1.560000,commanding,0.000000,0.645806,-0.630466,0.630466,-0.633534,0.627398,-0.650408,-5.372001,5.393476,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-6.457685,6.457685
0,79,1.580000,commanding,0.000000,0.645806,-0.630466,0.630466,-0.633534,0.627398,-0.650408,-5.395010,5.418020,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-6.457685,6.457685
0,80,1.600000,commanding,0.000000,0.645806,-0.630466,0.630466,-0.633534,0.627398,-0.650408,-5.422622,5.444098,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-6.457685,6.457685
0,81,1.620000,commanding,0.000000,0.644272,-0.630466,0.630466,-0.633534,0.627398,-0.650408,-5.447166,5.467108,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-6.457685,6.457685
0,82,1.640000,commanding,0.000000,0.642738,-0.630466,0.630466,-0.633534,0.627398,-0.650408,-5.470175,5.490117,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-6.457685,6.457685
0,83,1.660000,commanding,0.000000,0.642738,-0.630466,0.630466,-0.633534,0.627398,-0.650408,-5.491651,5.514661,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-6.457685,6.457685
0,84,1.680000,commanding,0.000000,0.642738,-0.630466,0.630466,-0.633534,0.627398,-0.650408,-5.516195,5.542273,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-6.457685,6.457685
0,85,1.700000,commanding,0.000000,0.642738,-0.630466,0.630466,-0.633534,0.627398,-0.650408,-5.540739,5.568350,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-6.457685,6.457685
0,86,1.720000,commanding,0.000000,0.642738,-0.630466,0.630466,-0.633534,0.627398,-0.650408,-5.569884,5.594428,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-6.457685,6.457685
0,87,1.740000,commanding,0.000000,0.642738,-0.630466,0.630466,-0.633534,0.627398,-0.648874,-5.600564,5.620506,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-6.457685,6.457685
0,88,1.760000,commanding,0.000000,0.642738,-0.630466,0.630466,-0.633534,0.627398,-0.647340,-5.626642,5.648117,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-6.457685,6.457685
0,89,1.780000,commanding,0.000000,0.642738,-0.630466,0.630466,-0.633534,0.627398,-0.647340,-5.652719,5.674195,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-6.457685,6.457685
0,90,1.800000,commanding,0.000000,0.642738,-0.630466,0.630466,-0.633534,0.627398,-0.647340,-5.680331,5.701807,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-6.457685,6.457685
0,91,1.820000,commanding,0.000000,0.642738,-0.630466,0.630466,-0.633534,0.625864,-0.647340,-5.704875,5.724816,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-6.457685,6.457685
0,92,1.840000,commanding,0.000000,0.642738,-0.630466,0.630466,-0.633534,0.627398,-0.647340,-5.729418,5.747826,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-6.457685,6.457685
0,93,1.860000,commanding,0.000000,0.642738,-0.630466,0.630466,-0.633534,0.627398,-0.647340,-5.752428,5.773904,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-6.457685,6.457685
0,94,1.880000,commanding,0.000000,0.642738,-0.630466,0.630466,-0.633534,0.627398,-0.647340,-5.776972,5.799981,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-6.457685,6.457685
0,95,1.900000,commanding,0.000000,0.641204,-0.630466,0.630466,-0.633534,0.627398,-0.647340,-5.801515,5.826059,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-6.457685,6.457685
0,96,1.920000,commanding,0.000000,0.641204,-0.630466,0.630466,-0.633534,0.627398,-0.647340,-5.826059,5.850603,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-6.457685,6.457685
0,97,1.940000,commanding,0.000000,0.641204,-0.630466,0.630466,-0.633534,0.627398,-0.647340,-5.846001,5.872078,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-6.457685,6.457685
0,98,1.960000,commanding,0.000000,0.641204,-0.630466,0.630466,-0.633534,0.627398,-0.647340,-5.873612,5.895088,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-6.457685,6.457685
0,99,1.980000,commanding,0.000000,0.641204,-0.630466,0.630466,-0.633534,0.627398,-0.647340,-5.901224,5.918098,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-6.457685,6.457685
