run,tick,t_s,phase,body_yaw_present_rad,leg1_present_rad,leg2_present_rad,leg3_present_rad,leg4_present_rad,leg5_present_rad,leg6_present_rad,antenna_right_present_rad,antenna_left_present_rad,body_yaw_goal_rad,leg1_goal_rad,leg2_goal_rad,leg3_goal_rad,leg4_goal_rad,leg5_goal_rad,leg6_goal_rad,antenna_right_goal_rad,antenna_left_goal_rad
0,0,0.000000,commanding,-0.012272,0.627398,-0.636602,0.615126,-0.619728,0.625864,-0.628932,-6.459593,6.458059,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-6.457685,6.457685
0,1,0.020000,commanding,-0.012272,0.627398,-0.636602,0.615126,-0.619728,0.625864,-0.630466,-6.459593,6.458059,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-6.457685,6.457685
0,2,0.040000,commanding,-0.012272,0.627398,-0.636602,0.615126,-0.618194,0.625864,-0.630466,-6.459593,6.458059,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-6.587522,6.587522
0,3,0.060000,commanding,-0.012272,0.627398,-0.636602,0.615126,-0.619728,0.625864,-0.628932,-6.461127,6.459593,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-6.744797,6.744797
0,4,0.080000,commanding,-0.012272,0.627398,-0.636602,0.615126,-0.619728,0.625864,-0.630466,-6.471865,6.467263,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-6.902072,6.902072
0,5,0.100000,commanding,-0.012272,0.627398,-0.636602,0.615126,-0.618194,0.625864,-0.630466,-6.511748,6.508680,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-7.059347,7.059347
0,6,0.120000,commanding,-0.012272,0.627398,-0.636602,0.615126,-0.618194,0.625864,-0.630466,-6.605321,6.606855,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-7.216622,7.216622
0,7,0.140000,commanding,-0.012272,0.627398,-0.636602,0.615126,-0.618194,0.625864,-0.630466,-6.755651,6.758719,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-7.373897,7.373897
0,8,0.160000,commanding,-0.012272,0.627398,-0.636602,0.615126,-0.619728,0.625864,-0.630466,-6.941263,6.950467,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-7.531172,7.531172
0,9,0.180000,commanding,-0.012272,0.627398,-0.636602,0.615126,-0.619728,0.625864,-0.628932,-7.148350,7.162156,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-7.688447,7.688447
0,10,0.200000,commanding,-0.012272,0.627398,-0.636602,0.616660,-0.619728,0.625864,-0.630466,-7.358506,7.370778,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-7.845722,7.845722
0,11,0.220000,commanding,-0.012272,0.627398,-0.636602,0.616660,-0.619728,0.625864,-0.630466,-7.527244,7.539516,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-8.002997,8.002997
0,12,0.240000,commanding,-0.012272,0.627398,-0.636602,0.616660,-0.619728,0.625864,-0.628932,-7.688312,7.705185,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-8.160272,8.160272
0,13,0.260000,commanding,-0.012272,0.627398,-0.636602,0.618194,-0.619728,0.625864,-0.630466,-7.837108,7.852448,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-8.317547,8.317547
0,14,0.280000,commanding,-0.012272,0.627398,-0.636602,0.619728,-0.619728,0.625864,-0.630466,-7.981302,7.995108,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-8.474822,8.474822
0,15,0.300000,commanding,-0.012272,0.627398,-0.636602,0.619728,-0.619728,0.625864,-0.630466,-8.130098,8.145438,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-8.632097,8.632097
0,16,0.320000,commanding,-0.012272,0.627398,-0.636602,0.619728,-0.619728,0.625864,-0.630466,-8.291166,8.298836,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-8.789372,8.789372
0,17,0.340000,commanding,-0.012272,0.627398,-0.636602,0.619728,-0.619728,0.625864,-0.630466,-8.439962,8.449166,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-8.946647,8.946647
0,18,0.360000,commanding,-0.012272,0.627398,-0.636602,0.619728,-0.619728,0.625864,-0.630466,-8.594894,8.607166,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-9.103922,9.103922
0,19,0.380000,commanding,-0.012272,0.627398,-0.636602,0.619728,-0.619728,0.625864,-0.630466,-8.749826,8.763632,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-9.261197,9.261197
0,20,0.400000,commanding,-0.012272,0.627398,-0.636602,0.619728,-0.619728,0.625864,-0.630466,-8.909360,8.924700,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-9.418472,9.418472
0,21,0.420000,commanding,-0.012272,0.627398,-0.636602,0.619728,-0.619728,0.625864,-0.630466,-9.067360,9.079632,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-9.575747,9.575747
0,22,0.440000,commanding,-0.012272,0.627398,-0.636602,0.619728,-0.619728,0.625864,-0.630466,-9.222292,9.239166,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-9.603185,9.603185
0,23,0.460000,commanding,-0.012272,0.627398,-0.636602,0.619728,-0.618194,0.625864,-0.630466,-9.361885,9.380293,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-9.603185,9.603185
0,24,0.480000,commanding,-0.012272,0.627398,-0.636602,0.619728,-0.618194,0.625864,-0.628932,-9.503011,9.524487,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-9.603185,9.603185
0,25,0.500000,commanding,-0.012272,0.627398,-0.636602,0.619728,-0.619728,0.625864,-0.630466,-9.621128,9.639535,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-9.603185,9.603185
0,26,0.520000,commanding,-0.012272,0.627398,-0.635068,0.619728,-0.619728,0.625864,-0.630466,-9.671749,9.680953,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-9.603185,9.603185
0,27,0.540000,commanding,-0.012272,0.627398,-0.636602,0.619728,-0.619728,0.625864,-0.630466,-9.659477,9.657943,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-9.603185,9.603185
0,28,0.560000,commanding,-0.012272,0.627398,-0.636602,0.619728,-0.619728,0.625864,-0.630466,-9.622661,9.616526,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-9.603185,9.603185
0,29,0.580000,commanding,-0.012272,0.627398,-0.636602,0.619728,-0.619728,0.625864,-0.630466,-9.593516,9.588914,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-9.603185,9.603185
0,30,0.600000,commanding,-0.012272,0.627398,-0.636602,0.619728,-0.619728,0.625864,-0.630466,-9.585846,9.585846,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-9.603185,9.603185
0,31,0.620000,commanding,-0.012272,0.627398,-0.636602,0.619728,-0.618194,0.625864,-0.630466,-9.595050,9.596584,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-9.603185,9.603185
