run,tick,t_s,phase,body_yaw_present_rad,leg1_present_rad,leg2_present_rad,leg3_present_rad,leg4_present_rad,leg5_present_rad,leg6_present_rad,antenna_right_present_rad,antenna_left_present_rad,body_yaw_goal_rad,leg1_goal_rad,leg2_goal_rad,leg3_goal_rad,leg4_goal_rad,leg5_goal_rad,leg6_goal_rad,antenna_right_goal_rad,antenna_left_goal_rad
0,0,0.000028,commanding,-0.016874,-0.208621,0.937262,-0.142660,0.110447,-1.020097,0.269981,3.233632,-3.235165,-0.016874,-0.208621,0.937262,-0.142660,0.110447,-1.020097,0.269981,3.233632,-3.235165
0,1,0.020076,commanding,-0.016874,-0.208621,0.937262,-0.142660,0.110447,-1.020097,0.269981,3.233632,-3.235165,-0.016874,-0.208621,0.937262,-0.142660,0.110447,-1.020097,0.269981,3.233632,-3.235165
0,2,0.051328,commanding,-0.016874,-0.208621,0.937262,-0.142660,0.110447,-1.020097,0.269981,3.233632,-3.235165,-0.016874,-0.208621,0.937261,-0.142660,0.110446,-1.020095,0.269980,3.233631,-3.235165
0,3,0.083334,commanding,-0.016874,-0.213223,0.940330,-0.145728,0.113515,-1.018563,0.273049,3.233632,-3.235165,-0.016871,-0.208615,0.937245,-0.142657,0.110443,-1.020061,0.269966,3.233630,-3.235159
0,4,0.115325,commanding,-0.016874,-0.214757,0.946466,-0.145728,0.113515,-1.018563,0.277651,3.233632,-3.235165,-0.016862,-0.208593,0.937191,-0.142645,0.110431,-1.019948,0.269921,3.233627,-3.235138
0,5,0.147324,commanding,-0.016874,-0.214757,0.946466,-0.145728,0.113515,-1.018563,0.277651,3.233632,-3.235165,-0.016844,-0.208548,0.937078,-0.142622,0.110407,-1.019710,0.269827,3.233621,-3.235097
0,6,0.179342,commanding,-0.016874,-0.214757,0.946466,-0.145728,0.113515,-1.018563,0.276117,3.233632,-3.235165,-0.016814,-0.208471,0.936888,-0.142582,0.110366,-1.019311,0.269669,3.233611,-3.235034
0,7,0.211323,commanding,-0.016874,-0.214757,0.946466,-0.145728,0.113515,-1.017029,0.277651,3.233632,-3.235165,-0.016768,-0.208358,0.936604,-0.142522,0.110305,-1.018714,0.269433,3.233597,-3.234947
0,8,0.243332,commanding,-0.016874,-0.214757,0.946466,-0.145728,0.113515,-1.017029,0.276117,3.233632,-3.235165,-0.016705,-0.208201,0.936212,-0.142440,0.110221,-1.017893,0.269107,3.233578,-3.234838
0,9,0.275324,commanding,-0.016874,-0.214757,0.944932,-0.145728,0.113515,-1.017029,0.277651,3.233632,-3.235165,-0.016623,-0.207996,0.935700,-0.142333,0.110111,-1.016819,0.268681,3.233556,-3.234707
0,10,0.307343,commanding,-0.016874,-0.214757,0.944932,-0.145728,0.113515,-1.017029,0.276117,3.233632,-3.235165,-0.016520,-0.207739,0.935059,-0.142199,0.109973,-1.015474,0.268147,3.233531,-3.234560
0,11,0.339323,commanding,-0.016874,-0.214757,0.944932,-0.145728,0.113515,-1.013961,0.276117,3.233632,-3.235165,-0.016394,-0.207426,0.934279,-0.142035,0.109805,-1.013838,0.267497,3.233502,-3.234400
