run,tick,t_s,phase,body_yaw_present_rad,leg1_present_rad,leg2_present_rad,leg3_present_rad,leg4_present_rad,leg5_present_rad,leg6_present_rad,antenna_right_present_rad,antenna_left_present_rad,body_yaw_goal_rad,leg1_goal_rad,leg2_goal_rad,leg3_goal_rad,leg4_goal_rad,leg5_goal_rad,leg6_goal_rad,antenna_right_goal_rad,antenna_left_goal_rad
0,0,0.000000,commanding,0.000000,0.628932,-0.628932,0.627398,-0.628932,0.616660,-0.635068,-6.459593,6.459593,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-6.457685,6.457685
0,1,0.020000,commanding,0.000000,0.628932,-0.628932,0.627398,-0.628932,0.616660,-0.635068,-6.459593,6.459593,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-6.457685,6.457685
0,2,0.040000,commanding,0.000000,0.628932,-0.628932,0.627398,-0.628932,0.616660,-0.635068,-6.459593,6.458059,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-6.457685,6.457685
0,3,0.060000,commanding,0.000000,0.628932,-0.628932,0.627398,-0.628932,0.616660,-0.635068,-6.459593,6.458059,0.000000,0.617924,-0.605989,0.659452,-0.641144,0.633754,-0.602850,-6.470485,6.444885
0,4,0.080000,commanding,0.000000,0.628932,-0.628932,0.627398,-0.627398,0.616660,-0.635068,-6.459593,6.458059,0.000000,0.610838,-0.586505,0.693074,-0.656718,0.640529,-0.579095,-6.484655,6.430716
0,5,0.100000,commanding,0.000000,0.624330,-0.627398,0.628932,-0.628932,0.616660,-0.625864,-6.461127,6.459593,0.000000,0.605294,-0.568152,0.727363,-0.673256,0.646853,-0.555322,-6.500046,6.415325
0,6,0.120000,commanding,-0.001534,0.615126,-0.618194,0.641204,-0.633534,0.619728,-0.612058,-6.462661,6.456525,0.000000,0.601298,-0.550993,0.762283,-0.690763,0.652718,-0.531580,-6.516509,6.398862
0,7,0.140000,commanding,-0.004602,0.607456,-0.602854,0.665748,-0.644272,0.622796,-0.595185,-6.467263,6.450389,0.000000,0.598852,-0.535086,0.797809,-0.709249,0.658118,-0.507919,-6.533888,6.381482
0,8,0.160000,commanding,-0.007670,0.599786,-0.579845,0.702563,-0.661146,0.625864,-0.567573,-6.476467,6.442719,0.000000,0.597956,-0.520491,0.833928,-0.728728,0.663044,-0.484389,-6.551999,6.363372
0,9,0.180000,commanding,-0.009204,0.598253,-0.556835,0.748583,-0.684155,0.632000,-0.535359,-6.487205,6.431981,0.000000,0.598608,-0.507263,0.870637,-0.749223,0.667493,-0.461042,-6.570688,6.344683
0,10,0.200000,commanding,-0.009204,0.596719,-0.535359,0.797670,-0.714835,0.639670,-0.490874,-6.507147,6.421244,0.000000,0.655757,-0.526249,0.815430,-0.664207,0.696149,-0.493574,-6.589768,6.325603
0,11,0.220000,commanding,-0.009204,0.599786,-0.521553,0.842155,-0.739379,0.645806,-0.458660,-6.528622,6.407438,0.000000,0.895566,-0.620025,0.538336,-0.349789,0.785386,-0.718011,-6.609033,6.306338
0,12,0.240000,commanding,-0.006136,0.612058,-0.520019,0.894311,-0.768524,0.661146,-0.444854,-6.560836,6.381360,0.000000,0.924784,-0.617706,0.531356,-0.324565,0.807416,-0.735899,-6.628329,6.287042
0,13,0.260000,commanding,0.000000,0.636602,-0.521553,0.897379,-0.757787,0.682621,-0.444854,-6.582312,6.359884,0.000000,0.924784,-0.617706,0.531356,-0.324565,0.807416,-0.735899,-6.630188,6.285183
0,14,0.280000,commanding,0.000000,0.690291,-0.535359,0.863631,-0.719437,0.722505,-0.460194,-6.583846,6.358350,0.000000,0.924784,-0.617706,0.531356,-0.324565,0.807416,-0.735899,-6.631450,6.283921
0,15,0.300000,commanding,0.000000,0.776194,-0.558369,0.777728,-0.642738,0.766990,-0.506214,-6.593049,6.355282,0.000000,0.924784,-0.617706,0.531356,-0.324565,0.807416,-0.735899,-6.632070,6.283300
0,16,0.320000,commanding,0.000000,0.874369,-0.584447,0.653476,-0.530757,0.817612,-0.575243,-6.612991,6.333807,0.000000,0.924784,-0.617706,0.531356,-0.324565,0.807416,-0.735899,-6.632073,6.283297
0,17,0.340000,commanding,0.000000,0.944932,-0.599786,0.553767,-0.429515,0.845223,-0.638136,-6.622195,6.320001,0.000000,0.924784,-0.617706,0.531356,-0.324565,0.807416,-0.735899,-6.631460,6.283911
0,18,0.360000,commanding,0.000000,0.967942,-0.605922,0.495476,-0.337476,0.845223,-0.681087,-6.628331,6.283185,0.000000,0.924784,-0.617706,0.531356,-0.324565,0.807416,-0.735899,-6.630229,6.285142
0,19,0.380000,commanding,0.004602,0.969476,-0.605922,0.492408,-0.308330,0.819146,-0.710233,-6.625263,6.254040,0.000000,0.924784,-0.617706,0.531356,-0.324565,0.807416,-0.735899,-6.628376,6.286994
0,20,0.400000,commanding,0.012272,0.977146,-0.616660,0.509282,-0.280718,0.797670,-0.763922,-6.634467,6.266312,0.000000,0.924784,-0.617706,0.531356,-0.324565,0.807416,-0.735899,-6.625926,6.289444
0,21,0.420000,commanding,0.012272,0.938796,-0.619728,0.510816,-0.271515,0.799204,-0.776194,-6.623729,6.272447,0.000000,0.924784,-0.617706,0.531356,-0.324565,0.807416,-0.735899,-6.622870,6.292501
0,22,0.440000,commanding,0.010738,0.934194,-0.633534,0.512350,-0.273049,0.794602,-0.788466,-6.611457,6.286253,0.000000,0.924784,-0.617706,0.531356,-0.324565,0.807416,-0.735899,-6.619220,6.296150
0,23,0.460000,commanding,0.001534,0.931126,-0.653476,0.521553,-0.276117,0.794602,-0.783864,-6.628331,6.301593,0.000000,0.924784,-0.617706,0.531356,-0.324565,0.807416,-0.735899,-6.615002,6.300368
0,24,0.480000,commanding,-0.010738,0.943398,-0.655010,0.516952,-0.274583,0.796136,-0.780796,-6.622195,6.298525,0.000000,0.924784,-0.617706,0.531356,-0.324565,0.807416,-0.735899,-6.610238,6.305133
0,25,0.500000,commanding,-0.012272,0.952602,-0.648874,0.521553,-0.271515,0.791534,-0.779262,-6.617593,6.283185,0.000000,0.924784,-0.617706,0.531356,-0.324565,0.807416,-0.735899,-6.604945,6.310426
0,26,0.520000,commanding,-0.009204,0.948000,-0.633534,0.521553,-0.276117,0.799204,-0.773126,-6.616059,6.286253,0.000000,0.924784,-0.617706,0.531356,-0.324565,0.807416,-0.735899,-6.599065,6.316306
0,27,0.540000,commanding,-0.006136,0.946466,-0.632000,0.527689,-0.274583,0.799204,-0.770058,-6.612991,6.304661,0.000000,0.924784,-0.617706,0.531356,-0.324565,0.807416,-0.735899,-6.592735,6.322636
0,28,0.560000,commanding,-0.003068,0.924990,-0.627398,0.523087,-0.282252,0.814544,-0.737845,-6.606855,6.306195,0.000000,0.924784,-0.617706,0.531356,-0.324565,0.807416,-0.735899,-6.585895,6.329476
0,29,0.580000,commanding,0.003068,0.929592,-0.632000,0.520019,-0.314466,0.837554,-0.733243,-6.596117,6.321535,0.000000,0.924784,-0.617706,0.531356,-0.324565,0.807416,-0.735899,-6.578611,6.336760
0,30,0.600000,commanding,0.003068,0.929592,-0.628932,0.523087,-0.334408,0.834486,-0.728641,-6.596117,6.324603,0.000000,0.924784,-0.617706,0.531356,-0.324565,0.807416,-0.735899,-6.570889,6.344482
0,31,0.620000,commanding,0.003068,0.928058,-0.630466,0.529223,-0.343612,0.834486,-0.725573,-6.594583,6.333807,0.000000,0.864740,-0.646985,0.466557,-0.358100,0.746547,-0.765695,-6.562771,6.352599
0,32,0.640000,commanding,0.001534,0.926524,-0.632000,0.524621,-0.340544,0.836020,-0.725573,-6.591515,6.344545,0.000000,0.735907,-0.807420,0.324568,-0.531351,0.617700,-0.924774,-6.554245,6.361126
0,33,0.660000,commanding,0.000000,0.917321,-0.636602,0.515418,-0.332874,0.826816,-0.725573,-6.586914,6.341477,0.000000,0.735907,-0.807420,0.324568,-0.531351,0.617700,-0.924774,-6.545414,6.369957
0,34,0.680000,commanding,0.001534,0.908117,-0.659612,0.493942,-0.335942,0.790000,-0.748583,-6.582312,6.341477,0.000000,0.735907,-0.807420,0.324568,-0.531351,0.617700,-0.924774,-6.536261,6.379109
0,35,0.700000,commanding,0.007670,0.878971,-0.693359,0.449456,-0.340544,0.743981,-0.786932,-6.582312,6.339943,0.000000,0.735907,-0.807420,0.324568,-0.531351,0.617700,-0.924774,-6.526855,6.388516
0,36,0.720000,commanding,0.015340,0.852893,-0.747049,0.400369,-0.345146,0.693359,-0.828350,-6.582312,6.341477,0.000000,0.735907,-0.807420,0.324568,-0.531351,0.617700,-0.924774,-6.517164,6.398207
0,37,0.740000,commanding,0.024544,0.814544,-0.816078,0.349748,-0.360485,0.641204,-0.860563,-6.579244,6.347613,0.000000,0.735907,-0.807420,0.324568,-0.531351,0.617700,-0.924774,-6.507351,6.408020
0,38,0.760000,commanding,0.027612,0.760854,-0.842155,0.305262,-0.398835,0.598253,-0.888175,-6.570040,6.356816,0.000000,0.735907,-0.807420,0.324568,-0.531351,0.617700,-0.924774,-6.497318,6.418053
0,39,0.780000,commanding,0.016874,0.750117,-0.826816,0.300660,-0.450990,0.595185,-0.949534,-6.542428,6.369088,0.000000,0.735907,-0.807420,0.324568,-0.531351,0.617700,-0.924774,-6.487022,6.428349
0,40,0.800000,commanding,0.004602,0.716369,-0.817612,0.294524,-0.501612,0.598253,-0.964874,-6.508680,6.408972,0.000000,0.735907,-0.807420,0.324568,-0.531351,0.617700,-0.924774,-6.476679,6.438692
0,41,0.820000,commanding,-0.003068,0.717903,-0.828350,0.288388,-0.539961,0.610524,-0.971010,-6.487205,6.431981,0.000000,0.735907,-0.807420,0.324568,-0.531351,0.617700,-0.924774,-6.466347,6.449024
0,42,0.840000,commanding,-0.019942,0.713301,-0.823748,0.279185,-0.576777,0.633534,-0.969476,-6.481069,6.436583,0.000000,0.735907,-0.807420,0.324568,-0.531351,0.617700,-0.924774,-6.455898,6.459472
0,43,0.860000,commanding,-0.030680,0.708699,-0.836020,0.285320,-0.573709,0.633534,-0.966408,-6.488739,6.430447,0.000000,0.735907,-0.807420,0.324568,-0.531351,0.617700,-0.924774,-6.445500,6.469870
0,44,0.880000,commanding,-0.036816,0.704097,-0.843689,0.296058,-0.564505,0.627398,-0.961806,-6.476467,6.448855,0.000000,0.735907,-0.807420,0.324568,-0.531351,0.617700,-0.924774,-6.435141,6.480230
0,45,0.900000,commanding,-0.038350,0.702563,-0.842155,0.297592,-0.543029,0.607456,-0.949534,-6.461127,6.462661,0.000000,0.735907,-0.807420,0.324568,-0.531351,0.617700,-0.924774,-6.424853,6.490518
0,46,0.920000,commanding,-0.038350,0.708699,-0.842155,0.299126,-0.532291,0.605922,-0.944932,-6.448855,6.464195,0.000000,0.735907,-0.807420,0.324568,-0.531351,0.617700,-0.924774,-6.414670,6.500701
0,47,0.940000,commanding,-0.035282,0.725573,-0.836020,0.299126,-0.529223,0.607456,-0.948000,-6.438117,6.476467,0.000000,0.735907,-0.807420,0.324568,-0.531351,0.617700,-0.924774,-6.404660,6.510711
0,48,0.960000,commanding,-0.029146,0.743981,-0.829884,0.294524,-0.529223,0.610524,-0.940330,-6.427380,6.488739,0.000000,0.735907,-0.807420,0.324568,-0.531351,0.617700,-0.924774,-6.394817,6.520554
0,49,0.980000,commanding,-0.021476,0.745515,-0.819146,0.289922,-0.529223,0.612058,-0.926524,-6.419710,6.493341,0.000000,0.735907,-0.807420,0.324568,-0.531351,0.617700,-0.924774,-6.385218,6.530153
0,50,1.000000,commanding,-0.013806,0.747049,-0.820680,0.292990,-0.527689,0.621262,-0.926524,-6.415108,6.497943,0.000000,0.735907,-0.807420,0.324568,-0.531351,0.617700,-0.924774,-6.375892,6.539478
