run,tick,t_s,phase,body_yaw_present_rad,leg1_present_rad,leg2_present_rad,leg3_present_rad,leg4_present_rad,leg5_present_rad,leg6_present_rad,antenna_right_present_rad,antenna_left_present_rad,body_yaw_goal_rad,leg1_goal_rad,leg2_goal_rad,leg3_goal_rad,leg4_goal_rad,leg5_goal_rad,leg6_goal_rad,antenna_right_goal_rad,antenna_left_goal_rad
0,0,0.000000,commanding,0.023010,0.618194,-0.628932,0.627398,-0.636602,0.627398,-0.632000,-6.458059,6.464195,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-6.457685,6.457685
0,1,0.020000,commanding,0.023010,0.618194,-0.628932,0.628932,-0.636602,0.627398,-0.632000,-6.458059,6.458059,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-6.457685,6.457685
0,2,0.040000,commanding,0.023010,0.618194,-0.628932,0.627398,-0.636602,0.627398,-0.632000,-6.458059,6.454991,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-6.457685,6.457685
0,3,0.060000,commanding,0.023010,0.618194,-0.628932,0.628932,-0.636602,0.627398,-0.632000,-6.458059,6.462661,0.016755,0.655881,-0.633982,0.639482,-0.658715,0.618862,-0.657833,-6.474450,6.503529
0,4,0.080000,commanding,0.023010,0.618194,-0.628932,0.628932,-0.636602,0.627398,-0.632000,-6.458059,6.464195,0.033510,0.685000,-0.641452,0.653624,-0.692015,0.612637,-0.690053,-6.491214,6.549373
0,5,0.100000,commanding,0.023010,0.618194,-0.628932,0.628932,-0.636602,0.627398,-0.632000,-6.461127,6.458059,0.050265,0.713870,-0.649032,0.669161,-0.726246,0.607717,-0.723249,-6.507978,6.595217
0,6,0.120000,commanding,0.023010,0.619728,-0.628932,0.628932,-0.636602,0.627398,-0.632000,-6.465729,6.459593,0.067020,0.742579,-0.656644,0.685964,-0.761630,0.604340,-0.757372,-6.524742,6.641061
0,7,0.140000,commanding,0.023010,0.622796,-0.630466,0.630466,-0.638136,0.625864,-0.633534,-6.473399,6.476467,0.083775,0.771602,-0.665447,0.704915,-0.798979,0.603698,-0.792876,-6.541506,6.686905
0,8,0.160000,commanding,0.023010,0.628932,-0.633534,0.633534,-0.639670,0.624330,-0.638136,-6.488739,6.491807,0.100529,0.801733,-0.675036,0.725485,-0.839931,0.607160,-0.830060,-6.558271,6.732749
0,9,0.180000,commanding,0.026078,0.639670,-0.639670,0.642738,-0.647340,0.621262,-0.647340,-6.507147,6.496409,0.117284,0.832276,-0.684703,0.747295,-0.883359,0.613347,-0.868198,-6.575035,6.778593
0,10,0.200000,commanding,0.027612,0.655010,-0.650408,0.656544,-0.662680,0.618194,-0.661146,-6.525554,6.504079,0.134039,0.863557,-0.696718,0.773017,-0.928404,0.621687,-0.908538,-6.591799,6.824437
0,11,0.220000,commanding,0.027612,0.676486,-0.664214,0.674952,-0.682621,0.616660,-0.681087,-6.540894,6.531690,0.150794,0.895291,-0.711200,0.802812,-0.975855,0.632979,-0.950938,-6.608563,6.870280
0,12,0.240000,commanding,0.030680,0.699495,-0.679553,0.696427,-0.707165,0.616660,-0.705631,-6.557768,6.566972,0.167549,0.925204,-0.724019,0.832567,-1.024510,0.645558,-0.992579,-6.625327,6.916124
0,13,0.260000,commanding,0.033748,0.722505,-0.690291,0.719437,-0.733243,0.618194,-0.731709,-6.574642,6.585380,0.167549,0.920019,-0.720341,0.827710,-1.021453,0.642437,-0.986801,-6.625327,6.916124
