run,tick,t_s,phase,body_yaw_present_rad,leg1_present_rad,leg2_present_rad,leg3_present_rad,leg4_present_rad,leg5_present_rad,leg6_present_rad,antenna_right_present_rad,antenna_left_present_rad,body_yaw_goal_rad,leg1_goal_rad,leg2_goal_rad,leg3_goal_rad,leg4_goal_rad,leg5_goal_rad,leg6_goal_rad,antenna_right_goal_rad,antenna_left_goal_rad
0,0,0.000000,commanding,0.004602,0.613592,-0.639670,0.630466,-0.627398,0.628932,-0.628932,-6.458059,6.461127,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-6.457685,6.457685
0,1,0.020000,commanding,0.004602,0.613592,-0.639670,0.630466,-0.627398,0.628932,-0.628932,-6.458059,6.453457,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-6.457685,6.457685
0,2,0.040000,commanding,0.004602,0.613592,-0.639670,0.630466,-0.627398,0.628932,-0.628932,-6.458059,6.456525,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-6.457685,6.457685
0,3,0.060000,commanding,0.004602,0.613592,-0.639670,0.630466,-0.627398,0.628932,-0.628932,-6.458059,6.465729,0.000000,0.635448,-0.628335,0.637476,-0.618827,0.622441,-0.646055,-6.457685,6.457685
0,4,0.080000,commanding,0.004602,0.613592,-0.639670,0.630466,-0.627398,0.628932,-0.628932,-6.458059,6.461127,0.000000,0.644973,-0.630700,0.649181,-0.611441,0.618623,-0.666296,-6.457685,6.457685
0,5,0.100000,commanding,0.004602,0.613592,-0.639670,0.630466,-0.627398,0.628932,-0.628932,-6.458059,6.453457,0.000000,0.654147,-0.632651,0.659857,-0.604543,0.615248,-0.685441,-6.457685,6.457685
0,6,0.120000,commanding,0.004602,0.613592,-0.639670,0.630466,-0.624330,0.628932,-0.628932,-6.458059,6.456525,0.000000,0.665748,-0.637567,0.673922,-0.598113,0.612564,-0.707343,-6.457685,6.457685
0,7,0.140000,commanding,0.004602,0.616660,-0.639670,0.630466,-0.618194,0.627398,-0.630466,-6.458059,6.465729,0.000000,0.677704,-0.642776,0.687814,-0.591237,0.609265,-0.728689,-6.457685,6.457685
0,8,0.160000,commanding,0.004602,0.622796,-0.639670,0.633534,-0.608990,0.624330,-0.633534,-6.458059,6.462661,0.000000,0.690287,-0.648288,0.700713,-0.585520,0.606795,-0.749082,-6.457685,6.457685
0,9,0.180000,commanding,0.004602,0.632000,-0.639670,0.641204,-0.601320,0.619728,-0.641204,-6.458059,6.454991,0.000000,0.702310,-0.652197,0.711382,-0.579274,0.603051,-0.767763,-6.457685,6.457685
0,10,0.200000,commanding,0.004602,0.644272,-0.641204,0.655010,-0.592117,0.616660,-0.655010,-6.458059,6.458059,0.000000,0.714134,-0.657474,0.722744,-0.573272,0.599567,-0.786286,-6.457685,6.457685
0,11,0.220000,commanding,0.004602,0.661146,-0.644272,0.671884,-0.581379,0.613592,-0.673418,-6.458059,6.462661,0.000000,0.728401,-0.665836,0.737563,-0.568284,0.597299,-0.807647,-6.457685,6.457685
0,12,0.240000,commanding,0.004602,0.678020,-0.647340,0.690291,-0.575243,0.610524,-0.696427,-6.458059,6.458059,0.000000,0.745877,-0.677772,0.756752,-0.563822,0.595651,-0.832957,-6.457685,6.457685
0,13,0.260000,commanding,0.004602,0.694893,-0.650408,0.710233,-0.570641,0.605922,-0.722505,-6.459593,6.453457,0.000000,0.742698,-0.674112,0.752291,-0.559870,0.590742,-0.828512,-6.457685,6.457685
0,14,0.280000,commanding,0.004602,0.708699,-0.653476,0.722505,-0.562971,0.602854,-0.745515,-6.458059,6.458059,0.000000,0.741309,-0.672990,0.749827,-0.557957,0.588623,-0.826300,-6.457685,6.457685
0,15,0.300000,commanding,0.004602,0.722505,-0.659612,0.736311,-0.558369,0.601320,-0.770058,-6.459593,6.465729,0.000000,0.740908,-0.672650,0.747769,-0.558421,0.588780,-0.824766,-6.457685,6.457685
0,16,0.320000,commanding,0.004602,0.731709,-0.664214,0.750117,-0.553767,0.596719,-0.794602,-6.458059,6.459593,0.000000,0.739053,-0.671377,0.744700,-0.558487,0.588590,-0.821728,-6.457685,6.457685
0,17,0.340000,commanding,0.004602,0.737845,-0.670350,0.757787,-0.550699,0.595185,-0.814544,-6.458059,6.451923,0.000000,0.742486,-0.676419,0.749850,-0.559743,0.590117,-0.825904,-6.457685,6.457685
0,18,0.360000,commanding,0.004602,0.742447,-0.676486,0.763922,-0.549165,0.595185,-0.828350,-6.458059,6.456525,0.000000,0.743491,-0.676507,0.750111,-0.559882,0.590081,-0.827168,-6.457685,6.457685
0,19,0.380000,commanding,0.004602,0.742447,-0.681087,0.763922,-0.549165,0.595185,-0.839087,-6.456525,6.465729,0.000000,0.746462,-0.679295,0.753549,-0.561040,0.591374,-0.831365,-6.457685,6.457685
0,20,0.400000,commanding,0.004602,0.740913,-0.685689,0.763922,-0.549165,0.595185,-0.845223,-6.458059,6.461127,0.000000,0.748460,-0.681826,0.756632,-0.562820,0.593093,-0.835009,-6.457685,6.457685
0,21,0.420000,commanding,0.004602,0.740913,-0.685689,0.762388,-0.550699,0.595185,-0.848291,-6.458059,6.453457,0.000000,0.749881,-0.684659,0.761011,-0.562267,0.592903,-0.839730,-6.457685,6.457685
