run,tick,t_s,phase,body_yaw_present_rad,leg1_present_rad,leg2_present_rad,leg3_present_rad,leg4_present_rad,leg5_present_rad,leg6_present_rad,antenna_right_present_rad,antenna_left_present_rad,body_yaw_goal_rad,leg1_goal_rad,leg2_goal_rad,leg3_goal_rad,leg4_goal_rad,leg5_goal_rad,leg6_goal_rad,antenna_right_goal_rad,antenna_left_goal_rad
0,0,0.000000,commanding,-0.001534,0.627398,-0.639670,0.630466,-0.628932,0.622796,-0.632000,-6.459593,6.458059,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-6.457685,6.457685
0,1,0.020000,commanding,-0.001534,0.627398,-0.639670,0.630466,-0.628932,0.622796,-0.632000,-6.459593,6.458059,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-6.457685,6.457685
0,2,0.040000,commanding,-0.001534,0.627398,-0.639670,0.630466,-0.628932,0.622796,-0.632000,-6.459593,6.458059,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-6.457685,6.457685
0,3,0.060000,commanding,-0.001534,0.627398,-0.639670,0.630466,-0.628932,0.622796,-0.632000,-6.459593,6.458059,0.000000,0.622911,-0.621746,0.625373,-0.627708,0.631354,-0.630177,-6.442920,6.442920
0,4,0.080000,commanding,-0.001534,0.627398,-0.639670,0.630466,-0.628932,0.622796,-0.632000,-6.459593,6.458059,0.000000,0.613400,-0.609286,0.622338,-0.630796,0.644057,-0.639705,-6.404270,6.404270
0,5,0.100000,commanding,-0.001534,0.624330,-0.635068,0.628932,-0.628932,0.622796,-0.632000,-6.456525,6.456525,0.000000,0.598039,-0.589424,0.617497,-0.635853,0.664897,-0.655137,-6.341745,6.341745
0,6,0.120000,commanding,-0.001534,0.616660,-0.625864,0.625864,-0.628932,0.622796,-0.632000,-6.451923,6.444253,0.000000,0.576895,-0.562621,0.610962,-0.642946,0.694246,-0.676466,-6.255456,6.255456
0,7,0.140000,commanding,-0.001534,0.605922,-0.612058,0.621262,-0.628932,0.628932,-0.633534,-6.431981,6.410506,0.000000,0.550044,-0.529484,0.602890,-0.652166,0.732673,-0.703714,-6.145404,6.145404
0,8,0.160000,commanding,-0.001534,0.587515,-0.593651,0.613592,-0.628932,0.644272,-0.642738,-6.390564,6.353748,0.000000,0.518748,-0.492166,0.593826,-0.663198,0.779212,-0.735734,-6.016290,6.016290
0,9,0.180000,commanding,-0.001534,0.562971,-0.567573,0.607456,-0.632000,0.670350,-0.656544,-6.326137,6.273981,0.000000,0.507273,-0.478845,0.590600,-0.667317,0.796787,-0.747556,-5.968671,5.968671
0,10,0.200000,commanding,-0.001534,0.535359,-0.536893,0.599786,-0.639670,0.707165,-0.684155,-6.231030,6.166603,0.000000,0.511842,-0.484125,0.591878,-0.665673,0.789755,-0.742844,-5.987649,5.987649
0,11,0.220000,commanding,-0.001534,0.504680,-0.500078,0.593651,-0.648874,0.751651,-0.716369,-6.105244,6.033146,0.000000,0.523599,-0.497856,0.595205,-0.661469,0.771868,-0.730750,-6.036373,6.036373
0,12,0.240000,commanding,-0.001534,0.487806,-0.477068,0.592117,-0.659612,0.790000,-0.745515,-5.984059,5.933438,0.000000,0.541208,-0.518804,0.600292,-0.655250,0.745614,-0.712723,-6.109055,6.109055
0,13,0.260000,commanding,0.000000,0.484738,-0.472466,0.590583,-0.670350,0.826816,-0.771592,-5.925768,5.901224,0.000000,0.570240,-0.554314,0.608937,-0.645209,0.703646,-0.683202,-6.228235,6.228235
0,14,0.280000,commanding,-0.001534,0.483204,-0.470932,0.584447,-0.665748,0.823748,-0.770058,-5.934972,5.936506,0.000000,0.599528,-0.591336,0.617963,-0.635359,0.662858,-0.653638,-6.347813,6.347813
0,15,0.300000,commanding,-0.001534,0.493942,-0.475534,0.587515,-0.659612,0.805340,-0.757787,-5.991729,6.028544,0.000000,0.628825,-0.629556,0.627274,-0.625805,0.623531,-0.624262,-6.466931,6.466931
0,16,0.320000,commanding,0.000000,0.520019,-0.489340,0.587515,-0.651942,0.765456,-0.731709,-6.088370,6.165069,0.000000,0.658170,-0.669026,0.636855,-0.616555,0.585573,-0.595026,-6.585870,6.585870
0,17,0.340000,commanding,-0.001534,0.553767,-0.523087,0.598253,-0.635068,0.707165,-0.690291,-6.229496,6.329205,0.000000,0.687725,-0.709991,0.646736,-0.607586,0.548781,-0.565777,-6.705380,6.705380
0,18,0.360000,commanding,-0.001534,0.592117,-0.570641,0.613592,-0.624330,0.645806,-0.642738,-6.372156,6.473399,0.000000,0.717332,-0.752274,0.656835,-0.598975,0.513399,-0.536697,-6.824872,6.824872
0,19,0.380000,commanding,-0.001534,0.636602,-0.633534,0.628932,-0.618194,0.575243,-0.582913,-6.536292,6.617593,0.000000,0.746930,-0.795845,0.667100,-0.590768,0.479548,-0.507880,-6.944148,6.944148
0,20,0.400000,commanding,-0.001534,0.688757,-0.699495,0.645806,-0.612058,0.520019,-0.535359,-6.700428,6.746448,0.000000,0.776445,-0.840660,0.677468,-0.583008,0.447381,-0.479446,-7.062915,7.062915
0,21,0.420000,commanding,-0.001534,0.737845,-0.780796,0.667282,-0.604388,0.480136,-0.498544,-6.859962,6.846156,0.000000,0.805930,-0.886898,0.687920,-0.575708,0.416923,-0.451404,-7.181377,7.181377
