run,tick,t_s,phase,body_yaw_present_rad,leg1_present_rad,leg2_present_rad,leg3_present_rad,leg4_present_rad,leg5_present_rad,leg6_present_rad,antenna_right_present_rad,antenna_left_present_rad,body_yaw_goal_rad,leg1_goal_rad,leg2_goal_rad,leg3_goal_rad,leg4_goal_rad,leg5_goal_rad,leg6_goal_rad,antenna_right_goal_rad,antenna_left_goal_rad
0,0,0.000000,commanding,0.000000,0.622796,-0.633534,0.625864,-0.625864,0.622796,-0.621262,-6.458059,6.451923,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-6.457685,6.457685
0,1,0.020000,commanding,0.000000,0.622796,-0.633534,0.625864,-0.625864,0.622796,-0.621262,-6.459593,6.456525,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-6.457685,6.457685
0,2,0.040000,commanding,0.000000,0.622796,-0.633534,0.625864,-0.625864,0.622796,-0.621262,-6.458059,6.465729,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-6.457685,6.457685
0,3,0.060000,commanding,0.000000,0.622796,-0.633534,0.625864,-0.625864,0.622796,-0.621262,-6.459593,6.461127,0.000000,0.575183,-0.575179,0.575177,-0.575173,0.575174,-0.575175,-6.561388,6.353982
0,4,0.080000,commanding,0.000000,0.622796,-0.633534,0.625864,-0.625864,0.622796,-0.621262,-6.458059,6.451923,0.000000,0.514560,-0.514556,0.514554,-0.514550,0.514551,-0.514552,-6.660456,6.254915
0,5,0.100000,commanding,0.000000,0.621262,-0.633534,0.625864,-0.625864,0.622796,-0.621262,-6.459593,6.454991,0.000000,0.445098,-0.445094,0.445092,-0.445088,0.445089,-0.445090,-6.750640,6.164731
0,6,0.120000,commanding,0.001534,0.616660,-0.633534,0.622796,-0.624330,0.616660,-0.619728,-6.467263,6.456525,0.000000,0.366938,-0.366934,0.366932,-0.366927,0.366929,-0.366930,-6.827690,6.087681
0,7,0.140000,commanding,0.001534,0.610524,-0.632000,0.615126,-0.624330,0.608990,-0.619728,-6.476467,6.447321,0.000000,0.280187,-0.280183,0.280181,-0.280176,0.280178,-0.280179,-6.887850,6.027520
0,8,0.160000,commanding,0.000000,0.599786,-0.627398,0.604388,-0.619728,0.596719,-0.616660,-6.487205,6.430447,0.000000,0.184785,-0.184780,0.184778,-0.184773,0.184775,-0.184776,-6.927974,5.987396
0,9,0.180000,commanding,0.000000,0.581379,-0.615126,0.589049,-0.607456,0.579845,-0.607456,-6.501011,6.410506,0.000000,0.079950,-0.079946,0.079944,-0.079939,0.079941,-0.079941,-6.944903,5.970468
0,10,0.200000,commanding,0.000000,0.559903,-0.601320,0.569107,-0.590583,0.559903,-0.595185,-6.522486,6.398234,0.000000,-0.035602,0.035606,-0.035609,0.035614,-0.035612,0.035612,-6.935792,5.979578
0,11,0.220000,commanding,0.000000,0.538427,-0.581379,0.547631,-0.570641,0.539961,-0.575243,-6.547030,6.382894,0.000000,-0.163301,0.163305,-0.163308,0.163314,-0.163312,0.163312,-6.900248,6.015122
0,12,0.240000,commanding,0.000000,0.513884,-0.558369,0.524621,-0.546097,0.515418,-0.552233,-6.577710,6.355282,0.000000,-0.306373,0.306378,-0.306381,0.306387,-0.306385,0.306385,-6.836709,6.078661
0,13,0.260000,commanding,0.000000,0.492408,-0.533825,0.501612,-0.523087,0.493942,-0.527689,-6.600719,6.323069,0.000000,-0.332390,0.332394,-0.332398,0.332404,-0.332401,0.332402,-6.718149,6.197221
0,14,0.280000,commanding,0.000000,0.466330,-0.509282,0.477068,-0.497010,0.469398,-0.501612,-6.620661,6.287787,0.000000,-0.349397,0.349401,-0.349405,0.349412,-0.349409,0.349409,-6.595515,6.319855
0,15,0.300000,commanding,0.000000,0.441786,-0.481670,0.452524,-0.472466,0.443320,-0.474000,-6.642137,6.263244,0.000000,-0.358963,0.357477,-0.352719,0.352632,-0.357422,0.359007,-6.471017,6.444354
0,16,0.320000,commanding,0.000000,0.417243,-0.457126,0.426447,-0.447922,0.418777,-0.447922,-6.666681,6.255574,0.000000,-0.369023,0.362009,-0.338469,0.337196,-0.361160,0.369477,-6.345864,6.569507
0,17,0.340000,commanding,0.000000,0.394233,-0.431049,0.401903,-0.421845,0.391165,-0.423379,-6.685088,6.244836,0.000000,-0.378656,0.365070,-0.316833,0.312465,-0.362104,0.380208,-6.223307,6.692063
0,18,0.360000,commanding,0.000000,0.365087,-0.403437,0.374291,-0.395767,0.365087,-0.398835,-6.695826,6.221826,0.000000,-0.385185,0.366224,-0.293936,0.284443,-0.359679,0.388601,-6.103379,6.811992
0,19,0.380000,commanding,0.000000,0.342078,-0.383495,0.351282,-0.372757,0.342078,-0.372757,-6.705030,6.200350,0.000000,-0.388368,0.365441,-0.270503,0.254106,-0.353979,0.394366,-5.989169,6.926201
0,20,0.400000,commanding,0.000000,0.316000,-0.358952,0.325204,-0.348214,0.317534,-0.348214,-6.715768,6.200350,0.000000,-0.388248,0.362767,-0.246491,0.221511,-0.345081,0.397542,-5.881273,7.034098
0,21,0.420000,commanding,0.000000,0.292990,-0.334408,0.300660,-0.323670,0.291456,-0.323670,-6.718836,6.208020,0.000000,-0.384870,0.358247,-0.222031,0.187000,-0.333149,0.398129,-5.781214,7.134157
0,22,0.440000,commanding,0.000000,0.266913,-0.309864,0.276117,-0.299126,0.266913,-0.299126,-6.721904,6.197282,0.000000,-0.378335,0.351974,-0.197384,0.151073,-0.318435,0.396160,-5.691024,7.224347
0,23,0.460000,commanding,0.000000,0.243903,-0.285320,0.250039,-0.274583,0.242369,-0.273049,-6.724972,6.185011,0.000000,-0.368722,0.344005,-0.172670,0.114011,-0.301108,0.391668,-5.612200,7.303171
0,24,0.480000,commanding,0.000000,0.217825,-0.259243,0.225495,-0.248505,0.216291,-0.246971,-6.723438,6.191146,0.000000,-0.356042,0.334324,-0.147660,0.075576,-0.281144,0.384683,-5.544899,7.370471
0,25,0.500000,commanding,0.000000,0.194816,-0.236233,0.204019,-0.225495,0.193282,-0.222427,-6.721904,6.201884,0.000000,-0.340681,0.323195,-0.122783,0.036530,-0.259062,0.375459,-5.490801,7.424570
0,26,0.520000,commanding,0.000000,0.171806,-0.210155,0.179476,-0.200951,0.168738,-0.196350,-6.714234,6.206486,0.000000,-0.322684,0.310590,-0.097922,-0.003172,-0.234903,0.364011,-5.450515,7.464856
0,27,0.540000,commanding,0.000000,0.145728,-0.187146,0.153398,-0.176408,0.145728,-0.173340,-6.701962,6.214156,0.000000,-0.302287,0.296639,-0.073157,-0.043326,-0.208903,0.350513,-5.424489,7.490882
0,28,0.560000,commanding,0.000000,0.122718,-0.162602,0.130388,-0.151864,0.119651,-0.150330,-6.688156,6.232564,0.000000,-0.279723,0.281444,-0.048559,-0.083715,-0.181296,0.335125,-5.413204,7.502166
