run,tick,t_s,phase,body_yaw_present_rad,leg1_present_rad,leg2_present_rad,leg3_present_rad,leg4_present_rad,leg5_present_rad,leg6_present_rad,antenna_right_present_rad,antenna_left_present_rad,body_yaw_goal_rad,leg1_goal_rad,leg2_goal_rad,leg3_goal_rad,leg4_goal_rad,leg5_goal_rad,leg6_goal_rad,antenna_right_goal_rad,antenna_left_goal_rad
0,0,0.000000,commanding,-0.001534,0.627398,-0.639670,0.633534,-0.635068,0.628932,-0.632000,-6.459593,6.458059,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-6.457685,6.457685
0,1,0.020000,commanding,-0.001534,0.627398,-0.639670,0.633534,-0.635068,0.628932,-0.630466,-6.459593,6.458059,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-6.457685,6.457685
0,2,0.040000,commanding,-0.001534,0.627398,-0.639670,0.633534,-0.635068,0.628932,-0.630466,-6.459593,6.458059,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-6.457685,6.457685
0,3,0.060000,commanding,-0.001534,0.627398,-0.639670,0.633534,-0.635068,0.628932,-0.632000,-6.459593,6.459593,0.000000,0.622930,-0.620347,0.659315,-0.618295,0.626475,-0.614047,-6.521352,6.394019
0,4,0.080000,commanding,-0.001534,0.625864,-0.639670,0.633534,-0.635068,0.628932,-0.630466,-6.459593,6.458059,0.000000,0.620897,-0.615083,0.695250,-0.609066,0.627076,-0.601418,-6.591920,6.323450
0,5,0.100000,commanding,-0.001534,0.624330,-0.635068,0.636602,-0.628932,0.628932,-0.625864,-6.459593,6.458059,0.000000,0.620947,-0.611310,0.733950,-0.598926,0.628466,-0.589037,-6.668705,6.246666
0,6,0.120000,commanding,-0.003068,0.624330,-0.628932,0.645806,-0.622796,0.628932,-0.616660,-6.461127,6.458059,0.000000,0.623506,-0.609569,0.774949,-0.587957,0.630757,-0.577299,-6.750873,6.164498
0,7,0.140000,commanding,-0.004602,0.624330,-0.621262,0.668816,-0.612058,0.628932,-0.604388,-6.465729,6.458059,0.000000,0.628937,-0.610357,0.817789,-0.576178,0.634059,-0.566594,-6.837657,6.077714
0,8,0.160000,commanding,-0.004602,0.625864,-0.618194,0.704097,-0.599786,0.628932,-0.592117,-6.474933,6.456525,0.000000,0.637502,-0.614087,0.861950,-0.563628,0.638466,-0.557304,-6.928163,5.987207
0,9,0.180000,commanding,-0.004602,0.625864,-0.618194,0.751651,-0.584447,0.628932,-0.576777,-6.487205,6.451923,0.000000,0.649412,-0.621122,0.906929,-0.550234,0.644076,-0.549829,-7.021617,5.893754
