run,tick,t_s,phase,body_yaw_present_rad,leg1_present_rad,leg2_present_rad,leg3_present_rad,leg4_present_rad,leg5_present_rad,leg6_present_rad,antenna_right_present_rad,antenna_left_present_rad,body_yaw_goal_rad,leg1_goal_rad,leg2_goal_rad,leg3_goal_rad,leg4_goal_rad,leg5_goal_rad,leg6_goal_rad,antenna_right_goal_rad,antenna_left_goal_rad
0,0,0.000000,commanding,-0.001534,0.619728,-0.635068,0.641204,-0.648874,0.619728,-0.627398,-6.459593,6.454991,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-6.457685,6.457685
0,1,0.020000,commanding,-0.001534,0.619728,-0.635068,0.641204,-0.648874,0.619728,-0.627398,-6.459593,6.464195,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-6.457685,6.457685
0,2,0.040000,commanding,-0.001534,0.619728,-0.635068,0.641204,-0.647340,0.619728,-0.627398,-6.458059,6.462661,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-6.457685,6.457685
0,3,0.060000,commanding,-0.001534,0.619728,-0.635068,0.641204,-0.647340,0.619728,-0.627398,-6.458059,6.454991,-0.000153,0.527856,-0.498742,0.552408,-0.556935,0.499047,-0.526526,-6.762794,6.762487
0,4,0.080000,commanding,-0.001534,0.619728,-0.635068,0.639670,-0.647340,0.619728,-0.627398,-6.459593,6.454991,-0.000307,0.435304,-0.370808,0.480768,-0.490664,0.371243,-0.432385,-7.067903,7.067289
0,5,0.100000,commanding,-0.001534,0.619728,-0.635068,0.639670,-0.644272,0.619728,-0.625864,-6.461127,6.464195,-0.000460,0.347162,-0.240005,0.410573,-0.426593,0.240242,-0.342336,-7.373012,7.372091
0,6,0.120000,commanding,-0.001534,0.618194,-0.633534,0.635068,-0.639670,0.618194,-0.621262,-6.465729,6.470331,-0.000614,0.263098,-0.105230,0.340986,-0.363583,0.105234,-0.256210,-7.678121,7.676893
0,7,0.140000,commanding,-0.001534,0.613592,-0.625864,0.625864,-0.630466,0.613592,-0.612058,-6.474933,6.470331,-0.000767,0.182728,0.034764,0.271417,-0.301024,-0.034786,-0.173729,-7.983229,7.981695
0,8,0.160000,commanding,-0.001534,0.602854,-0.613592,0.612058,-0.618194,0.604388,-0.599786,-6.487205,6.478001,-0.000920,0.105222,0.182665,0.201191,-0.238412,-0.182741,-0.093980,-8.288338,8.286497
0,9,0.180000,commanding,-0.001534,0.590583,-0.599786,0.601320,-0.605922,0.590583,-0.587515,-6.507147,6.496409,-0.001074,0.030170,0.341261,0.129577,-0.175107,-0.341619,-0.016522,-8.593447,8.591299
0,10,0.200000,commanding,-0.001534,0.570641,-0.581379,0.584447,-0.587515,0.572175,-0.570641,-6.527088,6.527088,-0.001227,-0.042523,0.513648,0.055782,-0.110402,-0.514706,0.058721,-8.898556,8.896101
0,11,0.220000,commanding,-0.001534,0.549165,-0.561437,0.566039,-0.569107,0.550699,-0.552233,-6.543962,6.537826,-0.001381,-0.113098,0.704036,-0.023729,-0.037324,-0.709303,0.148958,-9.203665,9.203343
0,12,0.240000,commanding,-0.001534,0.523087,-0.541495,0.541495,-0.549165,0.526155,-0.532291,-6.566972,6.545496,-0.001534,-0.181180,0.914336,-0.106636,0.038783,-0.929203,0.241987,-9.509759,9.507673
0,13,0.260000,commanding,-0.001534,0.495476,-0.520019,0.515418,-0.527689,0.500078,-0.509282,-6.599185,6.577710,-0.001534,-0.181889,0.914435,-0.107389,0.040349,-0.930386,0.248187,-9.510307,9.506544
0,14,0.280000,commanding,-0.001534,0.467864,-0.495476,0.486272,-0.500078,0.470932,-0.483204,-6.628331,6.620661,-0.001534,-0.183084,0.914439,-0.108127,0.041249,-0.930573,0.252574,-9.509906,9.507015
0,15,0.300000,commanding,-0.001534,0.443320,-0.472466,0.461728,-0.477068,0.446388,-0.458660,-6.646739,6.640603,-0.001534,-0.184629,0.914429,-0.108555,0.041383,-0.930811,0.256097,-9.509098,9.507239
0,16,0.320000,commanding,-0.001534,0.417243,-0.446388,0.435651,-0.450990,0.418777,-0.434117,-6.668214,6.649807,-0.001534,-0.187212,0.914430,-0.109953,0.041360,-0.931730,0.259672,-9.508773,9.506775
0,17,0.340000,commanding,-0.001534,0.392699,-0.421845,0.409573,-0.426447,0.394233,-0.408039,-6.697360,6.677418,-0.001534,-0.189668,0.914429,-0.111451,0.041696,-0.932096,0.261960,-9.508773,9.506297
0,18,0.360000,commanding,-0.001534,0.368155,-0.397301,0.385029,-0.400369,0.368155,-0.381961,-6.724972,6.717302,-0.001534,-0.192056,0.914423,-0.112376,0.042481,-0.932065,0.262397,-9.508773,9.506722
0,19,0.380000,commanding,-0.001534,0.343612,-0.372757,0.360485,-0.374291,0.343612,-0.357418,-6.746448,6.734176,-0.001534,-0.193367,0.914419,-0.112837,0.042961,-0.932068,0.262305,-9.508773,9.507163
0,20,0.400000,commanding,-0.001534,0.319068,-0.346680,0.334408,-0.348214,0.320602,-0.331340,-6.770991,6.743380,-0.001534,-0.193532,0.914410,-0.113614,0.042974,-0.932067,0.262280,-9.508773,9.507239
0,21,0.420000,commanding,-0.001534,0.294524,-0.322136,0.309864,-0.325204,0.296058,-0.308330,-6.797069,6.775593,-0.001534,-0.193479,0.914404,-0.114223,0.042912,-0.932066,0.262271,-9.508773,9.507239
0,22,0.440000,commanding,-0.001534,0.271515,-0.299126,0.286854,-0.300660,0.271515,-0.282252,-6.821613,6.820079,-0.001534,-0.193485,0.914413,-0.114374,0.042898,-0.932940,0.262296,-9.508773,9.507239
0,23,0.460000,commanding,-0.001534,0.245437,-0.273049,0.260777,-0.276117,0.246971,-0.257709,-6.846156,6.830816,-0.001534,-0.193498,0.914425,-0.114392,0.042896,-0.933585,0.262317,-9.508773,9.507239
0,24,0.480000,commanding,-0.001534,0.220893,-0.248505,0.237767,-0.253107,0.222427,-0.233165,-6.869166,6.836952,-0.001534,-0.193499,0.914429,-0.114396,0.042895,-0.933654,0.262321,-9.508773,9.507085
0,25,0.500000,commanding,-0.001534,0.196350,-0.223961,0.213223,-0.228563,0.197884,-0.208621,-6.895244,6.878370,-0.001534,-0.193499,0.914430,-0.114397,0.042895,-0.933642,0.262321,-9.508773,9.506384
0,26,0.520000,commanding,-0.001534,0.171806,-0.197884,0.188680,-0.200951,0.171806,-0.184078,-6.922855,6.910583,-0.001534,-0.193499,0.914430,-0.114397,0.042895,-0.933642,0.262321,-9.508773,9.506435
0,27,0.540000,commanding,-0.001534,0.148796,-0.176408,0.164136,-0.177942,0.148796,-0.159534,-6.944331,6.922855,-0.001534,-0.193499,0.914430,-0.114397,0.042895,-0.933642,0.262321,-9.508773,9.507030
0,28,0.560000,commanding,-0.001534,0.124252,-0.151864,0.138058,-0.151864,0.124252,-0.134990,-6.965807,6.944331,-0.001534,-0.193499,0.914430,-0.114397,0.042895,-0.933642,0.262321,-9.508773,9.506306
0,29,0.580000,commanding,-0.001534,0.099709,-0.128854,0.113515,-0.127320,0.098175,-0.111981,-6.991884,6.984215,-0.001534,-0.193499,0.914430,-0.114397,0.042895,-0.933642,0.262321,-9.508773,9.505734
0,30,0.600000,commanding,-0.001534,0.073631,-0.104311,0.088971,-0.102777,0.073631,-0.085903,-7.019496,7.005690,-0.001534,-0.193499,0.914430,-0.114397,0.042895,-0.933642,0.262321,-9.508773,9.505705
0,31,0.620000,commanding,-0.001534,0.049087,-0.078233,0.064427,-0.078233,0.047553,-0.059825,-7.044040,7.017962,-0.001534,-0.193499,0.914430,-0.114397,0.042895,-0.933642,0.262321,-9.508773,9.505705
0,32,0.640000,commanding,-0.001534,0.023010,-0.053689,0.039884,-0.052155,0.021476,-0.033748,-7.067049,7.053244,-0.001534,-0.193499,0.914430,-0.114397,0.042895,-0.933642,0.262321,-9.508773,9.505705
0,33,0.660000,commanding,-0.001534,-0.001534,-0.029146,0.016874,-0.030680,0.000000,-0.012272,-7.093127,7.077787,-0.001534,-0.193499,0.914430,-0.114397,0.042895,-0.933642,0.262321,-9.508773,9.505705
0,34,0.680000,commanding,-0.001534,-0.024544,-0.004602,-0.007670,-0.009204,-0.026078,0.012272,-7.117671,7.097729,-0.001534,-0.193499,0.914430,-0.114397,0.042895,-0.933642,0.262321,-9.508773,9.505705
0,35,0.700000,commanding,-0.001534,-0.049087,0.018408,-0.032214,0.007670,-0.049087,0.038350,-7.140681,7.122273,-0.001534,-0.193499,0.914430,-0.114397,0.042895,-0.933642,0.262321,-9.508773,9.505705
0,36,0.720000,commanding,-0.001534,-0.073631,0.044485,-0.055223,0.021476,-0.073631,0.061359,-7.166758,7.149884,-0.001534,-0.193499,0.914430,-0.114397,0.042895,-0.933642,0.262321,-9.508773,9.505705
0,37,0.740000,commanding,-0.001534,-0.098175,0.069029,-0.073631,0.030680,-0.098175,0.085903,-7.189768,7.174428,-0.001534,-0.193499,0.914430,-0.114397,0.042895,-0.933642,0.262321,-9.508773,9.505705
0,38,0.760000,commanding,-0.001534,-0.124252,0.095107,-0.092039,0.033748,-0.122718,0.113515,-7.215846,7.197438,-0.001534,-0.193499,0.914430,-0.114397,0.042895,-0.933642,0.262321,-9.508773,9.505974
0,39,0.780000,commanding,-0.001534,-0.145728,0.118117,-0.101243,0.035282,-0.147262,0.136524,-7.238855,7.220448,-0.001534,-0.193499,0.914430,-0.114397,0.042895,-0.933642,0.262321,-9.508773,9.511500
0,40,0.800000,commanding,-0.001534,-0.165670,0.144194,-0.108913,0.033748,-0.170272,0.159534,-7.264933,7.244991,-0.000548,-0.193502,0.914430,-0.114397,0.042895,-0.933643,0.262325,-9.508773,9.525601
0,41,0.820000,commanding,-0.001534,-0.181010,0.167204,-0.115049,0.033748,-0.194816,0.185612,-7.287943,7.269535,0.001877,-0.193483,0.914429,-0.114395,0.042894,-0.933643,0.262303,-9.508773,9.534598
0,42,0.840000,commanding,-0.001534,-0.190214,0.191748,-0.116583,0.035282,-0.219359,0.208621,-7.314020,7.294079,0.000675,-0.191977,0.914158,-0.114144,0.044123,-0.934009,0.263558,-9.508773,9.510556
